Identifier,Sentence,Category1,basic qualifications,physical demands,experience,preferred qualifications,schedule,additional information,policy,licenses  certifications,salary,job description,disclaimer,location,education,company description,training,benefits
011dd05f9943d885,main responsibility,basic qualifications,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
011dd05f9943d885,qualification experience,basic qualifications,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
011dd05f9943d885,additional require ability,basic qualifications,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
011dd05f9943d885,benefit,benefits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
011dd05f9943d885,schedule,schedule,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
011dd05f9943d885,license certification,licenses  certifications,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
026f26bd77dab1ac,position number,additional information,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
026f26bd77dab1ac,division name,additional information,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
026f26bd77dab1ac,minimum qualification,basic qualifications,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
026f26bd77dab1ac,education and/or equivalent experience,education,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
026f26bd77dab1ac,license or certification,licenses  certifications,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
026f26bd77dab1ac,note to applicant,additional information,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
026f26bd77dab1ac,job responsibility,basic qualifications,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
026f26bd77dab1ac,employment application,additional information,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
026f26bd77dab1ac,if you be select as a top candidate,additional information,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
026f26bd77dab1ac,category,additional information,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
026f26bd77dab1ac,prefer qualification,preferred qualifications,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
026f26bd77dab1ac,prefer experience,preferred qualifications,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
026f26bd77dab1ac,duty function and responsibility,basic qualifications,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
026f26bd77dab1ac,responsibility,basic qualifications,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
026f26bd77dab1ac,supervision and/or leadership exercise,basic qualifications,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
036af76d28fc8478,job title energy auditor,job description,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
036af76d28fc8478,report to operation manager,job description,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
036af76d28fc8478,department engineering,job description,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
036af76d28fc8478,flsa status exempt,salary,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
